GAME_DATE,METRIC_TYPE,METRIC_VALUE,TEAM_ID,TEAM_NAME
2026-01-13,TEAM,0.625,1610612749.0,Milwaukee Bucks
2026-01-13,TEAM,0.6829268292682927,1610612750.0,Minnesota Timberwolves
2026-01-13,TEAM,0.6097560975609756,1610612744.0,Golden State Warriors
2026-01-13,TEAM,0.4878048780487805,1610612757.0,Portland Trail Blazers
2026-01-13,TEAM,0.85,1610612760.0,Oklahoma City Thunder
2026-01-13,TEAM,0.6410256410256411,1610612759.0,San Antonio Spurs
2026-01-13,TEAM,0.5945945945945946,1610612745.0,Houston Rockets
2026-01-13,TEAM,0.5384615384615384,1610612741.0,Chicago Bulls
2026-01-13,TEAM,0.575,1610612748.0,Miami Heat
2026-01-13,TEAM,0.575,1610612756.0,Phoenix Suns
2026-01-13,TEAM,0.5789473684210527,1610612747.0,Los Angeles Lakers
2026-01-13,TEAM,0.5714285714285714,1610612737.0,Atlanta Hawks
2026-01-14,TEAM,0.7209302325581395,1610612740.0,New Orleans Pelicans
2026-01-14,TEAM,0.5789473684210527,1610612751.0,Brooklyn Nets
2026-01-14,TEAM,0.55,1610612741.0,Chicago Bulls
2026-01-14,TEAM,0.675,1610612762.0,Utah Jazz
2026-01-14,TEAM,0.65,1610612746.0,LA Clippers
2026-01-14,TEAM,0.6666666666666666,1610612764.0,Washington Wizards
2026-01-14,TEAM,0.55,1610612742.0,Dallas Mavericks
2026-01-14,TEAM,0.5609756097560976,1610612743.0,Denver Nuggets
2026-01-14,TEAM,0.6923076923076923,1610612755.0,Philadelphia 76ers
2026-01-14,TEAM,0.5714285714285714,1610612739.0,Cleveland Cavaliers
2026-01-14,TEAM,0.7560975609756098,1610612758.0,Sacramento Kings
2026-01-14,TEAM,0.7692307692307693,1610612752.0,New York Knicks
2026-01-14,TEAM,0.6829268292682927,1610612754.0,Indiana Pacers
2026-01-14,TEAM,0.5952380952380952,1610612761.0,Toronto Raptors
2026-01-15,TEAM,0.5641025641025641,1610612747.0,Los Angeles Lakers
2026-01-15,TEAM,0.5365853658536586,1610612766.0,Charlotte Hornets
2026-01-15,TEAM,0.6190476190476191,1610612744.0,Golden State Warriors
2026-01-15,TEAM,0.775,1610612752.0,New York Knicks
2026-01-15,TEAM,0.65,1610612759.0,San Antonio Spurs
2026-01-15,TEAM,0.6341463414634146,1610612749.0,Milwaukee Bucks
2026-01-15,TEAM,0.5609756097560976,1610612742.0,Dallas Mavericks
2026-01-15,TEAM,0.6829268292682927,1610612762.0,Utah Jazz
2026-01-15,TEAM,0.5,1610612757.0,Portland Trail Blazers
2026-01-15,TEAM,0.5813953488372093,1610612737.0,Atlanta Hawks
2026-01-15,TEAM,0.5789473684210527,1610612765.0,Detroit Pistons
2026-01-15,TEAM,0.5853658536585366,1610612756.0,Phoenix Suns
2026-01-15,TEAM,0.5853658536585366,1610612748.0,Miami Heat
2026-01-15,TEAM,0.625,1610612738.0,Boston Celtics
2026-01-15,TEAM,0.6052631578947368,1610612745.0,Houston Rockets
2026-01-15,TEAM,0.8536585365853658,1610612760.0,Oklahoma City Thunder
2026-01-16,TEAM,0.6046511627906976,1610612761.0,Toronto Raptors
2026-01-16,TEAM,0.6585365853658537,1610612746.0,LA Clippers
2026-01-16,TEAM,0.7619047619047619,1610612758.0,Sacramento Kings
2026-01-16,TEAM,0.675,1610612764.0,Washington Wizards
2026-01-16,TEAM,0.5641025641025641,1610612751.0,Brooklyn Nets
2026-01-16,TEAM,0.5365853658536586,1610612741.0,Chicago Bulls
2026-01-16,TEAM,0.675,1610612755.0,Philadelphia 76ers
2026-01-16,TEAM,0.5581395348837209,1610612739.0,Cleveland Cavaliers
2026-01-16,TEAM,0.5897435897435898,1610612745.0,Houston Rockets
2026-01-16,TEAM,0.6666666666666666,1610612750.0,Minnesota Timberwolves
